run_id,attempt_id,period_role,side,model_row_key,decision,score
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T01:25:00Z,long,0.44360682591550954
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T04:15:00Z,long,0.3005010826408418
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T05:05:00Z,long,0.30726615587845946
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T05:40:00Z,flat,0.2466058184959111
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T00:00:00Z,short,0.1535731554
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:50:00Z,long,0.3128382564
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T02:00:00Z,long,0.3693801165
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T02:15:00Z,long,0.4699004292
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T02:20:00Z,long,0.4860485196
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,proxy_only,2025-03-10T07:10:00Z,flat,0.4802914771548102
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,proxy_only,2025-03-10T07:15:00Z,long,0.5322524399203723
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,proxy_only,2025-03-10T07:20:00Z,flat,0.4855400767930382
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,proxy_only,2025-03-10T07:25:00Z,long,0.5330646675715842
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,proxy_only,2025-03-10T07:30:00Z,short,0.46949278481589596
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,mt5_only,2024-06-05T00:00:00Z,short,0.4586152434
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,mt5_only,2024-06-05T01:05:00Z,flat,0.4970944822
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,mt5_only,2024-06-05T01:10:00Z,flat,0.4846165776
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,mt5_only,2024-06-05T01:15:00Z,short,0.4635974765
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,validation,mt5_only,2024-06-05T01:20:00Z,short,0.4593516886
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T00:00:00Z,short,0.1275996268
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:05:00Z,short,0.1807542741
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:10:00Z,flat,0.4888288975
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:15:00Z,flat,0.4953482151
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:20:00Z,short,0.3316845596
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,proxy_only,2025-03-10T12:00:00Z,flat,0.41758669149831484
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,proxy_only,2025-03-10T12:05:00Z,flat,0.4220391212706958
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,proxy_only,2025-03-10T12:10:00Z,flat,0.4220391212706958
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,proxy_only,2025-03-10T12:15:00Z,flat,0.4169903746707957
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,proxy_only,2025-03-10T12:20:00Z,flat,0.4131906313808673
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,mt5_only,2024-06-05T00:00:00Z,long,0.4772077799
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,mt5_only,2024-06-05T01:05:00Z,long,0.4949011803
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,mt5_only,2024-06-05T01:10:00Z,flat,0.4286818504
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,mt5_only,2024-06-05T01:15:00Z,short,0.3463222980
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_validation_v0,validation,mt5_only,2024-06-05T01:20:00Z,short,0.3896440864
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T13:00:00Z,short,0.3670996302648512
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T13:05:00Z,long,0.4611243745100669
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T13:10:00Z,long,0.5593210933803114
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T13:15:00Z,long,0.5654517874995558
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,proxy_only,2025-11-21T13:20:00Z,long,0.47207661763518916
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T00:00:00Z,long,0.6423215866
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:05:00Z,long,0.6354829669
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:10:00Z,long,0.6273141503
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:15:00Z,long,0.6345719695
onnxlab_wave03_mix2_cell_006_session_gate_control_v0,attempt_wave03_mix2_cell_006_l4_research_oos_v0,research_oos,mt5_only,2025-04-03T01:20:00Z,long,0.6328063011
