mt5_date,prev_bar_mt5,next_bar_mt5,gap_seconds,missing_m5_bar_estimate
2019.01.28,2019.01.28 23:10:00,2019.01.28 23:30:00,1200,3
2019.01.29,2019.01.29 23:10:00,2019.01.29 23:30:00,1200,3
2019.01.30,2019.01.30 23:10:00,2019.01.30 23:30:00,1200,3
2019.01.31,2019.01.31 23:10:00,2019.01.31 23:30:00,1200,3
2019.02.04,2019.02.04 23:10:00,2019.02.04 23:30:00,1200,3
2019.02.05,2019.02.05 23:10:00,2019.02.05 23:30:00,1200,3
2019.02.06,2019.02.06 23:10:00,2019.02.06 23:30:00,1200,3
2019.02.07,2019.02.07 23:10:00,2019.02.07 23:30:00,1200,3
2019.02.11,2019.02.11 23:10:00,2019.02.11 23:30:00,1200,3
2019.02.12,2019.02.12 23:10:00,2019.02.12 23:30:00,1200,3
2019.02.13,2019.02.13 23:10:00,2019.02.13 23:30:00,1200,3
2019.02.14,2019.02.14 23:10:00,2019.02.14 23:30:00,1200,3
2019.02.19,2019.02.19 23:10:00,2019.02.19 23:30:00,1200,3
2019.02.20,2019.02.20 23:10:00,2019.02.20 23:30:00,1200,3
2019.02.21,2019.02.21 23:10:00,2019.02.21 23:30:00,1200,3
2019.02.25,2019.02.25 23:10:00,2019.02.25 23:30:00,1200,3
2019.02.26,2019.02.26 23:10:00,2019.02.26 23:30:00,1200,3
2019.02.27,2019.02.27 02:50:00,2019.02.27 05:45:00,10500,34
2019.02.27,2019.02.27 23:10:00,2019.02.27 23:30:00,1200,3
2019.02.28,2019.02.28 23:10:00,2019.02.28 23:30:00,1200,3
2019.03.04,2019.03.04 23:10:00,2019.03.04 23:30:00,1200,3
2019.03.05,2019.03.05 23:10:00,2019.03.05 23:30:00,1200,3
2019.03.06,2019.03.06 23:10:00,2019.03.06 23:30:00,1200,3
2019.03.07,2019.03.07 23:10:00,2019.03.07 23:30:00,1200,3
2019.03.11,2019.03.11 23:10:00,2019.03.11 23:30:00,1200,3
2019.03.12,2019.03.12 23:10:00,2019.03.12 23:30:00,1200,3
2019.03.13,2019.03.13 23:10:00,2019.03.13 23:30:00,1200,3
2019.03.14,2019.03.14 23:10:00,2019.03.14 23:30:00,1200,3
2019.03.18,2019.03.18 23:10:00,2019.03.18 23:30:00,1200,3
2019.03.19,2019.03.19 23:10:00,2019.03.19 23:30:00,1200,3
2019.03.20,2019.03.20 23:10:00,2019.03.20 23:30:00,1200,3
2019.03.21,2019.03.21 23:10:00,2019.03.21 23:30:00,1200,3
2019.03.25,2019.03.25 23:10:00,2019.03.25 23:30:00,1200,3
2019.03.26,2019.03.26 23:10:00,2019.03.26 23:30:00,1200,3
2019.03.27,2019.03.27 23:10:00,2019.03.27 23:30:00,1200,3
2019.03.28,2019.03.28 23:10:00,2019.03.28 23:30:00,1200,3
2019.04.01,2019.04.01 23:10:00,2019.04.01 23:30:00,1200,3
